timestamp,ghi,temperature,wind_speed,humidity,power_kw
2023-01-01 00:00:00,9.14,-13.08,5.13,89.88,0.0648
2023-01-01 01:00:00,0.0,-11.96,3.46,92.29,0.1685
2023-01-01 02:00:00,22.51,-11.45,3.91,86.84,0.3236
2023-01-01 03:00:00,28.22,-11.29,6.75,85.27,0.3693
2023-01-01 04:00:00,0.0,-10.25,4.46,92.02,0.0
2023-01-01 05:00:00,0.0,-12.35,4.04,90.53,0.0
2023-01-01 06:00:00,3.84,-11.69,3.53,94.19,0.1469
2023-01-01 07:00:00,0.0,-9.18,3.18,97.17,0.1244
2023-01-01 08:00:00,0.0,-8.4,4.77,93.84,0.1308
2023-01-01 09:00:00,0.0,-8.79,4.23,83.8,0.0
2023-01-01 10:00:00,26.38,-6.79,3.36,89.49,0.1794
2023-01-01 11:00:00,58.69,-5.15,3.3,91.49,0.7525
2023-01-01 12:00:00,51.98,-4.49,3.33,93.6,0.7419
2023-01-01 13:00:00,69.17,-4.14,3.47,93.85,0.897
2023-01-01 14:00:00,14.03,-9.9,4.3,89.27,0.0416
2023-01-01 15:00:00,0.0,-10.07,4.58,87.1,0.0553
2023-01-01 16:00:00,11.06,-8.95,6.43,94.6,0.0
2023-01-01 17:00:00,0.0,-8.93,4.08,91.45,0.1998
2023-01-01 18:00:00,26.35,-10.34,6.16,90.96,0.3253
2023-01-01 19:00:00,0.0,-11.75,3.72,86.03,0.0288
2023-01-01 20:00:00,0.0,-11.98,3.72,100.0,0.2313
2023-01-01 21:00:00,0.0,-11.02,3.07,90.8,0.0
2023-01-01 22:00:00,36.68,-15.12,3.71,89.12,0.443
2023-01-01 23:00:00,0.0,-8.08,3.82,90.8,0.0
2023-01-02 00:00:00,0.0,-12.86,4.68,88.82,0.0
2023-01-02 01:00:00,0.0,-10.69,3.54,83.04,0.0418
2023-01-02 02:00:00,15.97,-13.66,3.11,90.98,0.2193
2023-01-02 03:00:00,10.96,-10.87,3.47,82.22,0.0
2023-01-02 04:00:00,12.38,-11.2,3.54,90.0,0.2511
2023-01-02 05:00:00,12.92,-8.96,3.6,81.52,0.1405
2023-01-02 06:00:00,64.25,-10.3,3.24,78.71,0.846
2023-01-02 07:00:00,0.0,-6.02,4.82,92.55,0.0353
2023-01-02 08:00:00,0.0,-11.38,4.34,83.96,0.1569
2023-01-02 09:00:00,0.0,-5.88,6.07,91.65,0.1741
2023-01-02 10:00:00,18.48,-7.06,3.4,90.33,0.2384
2023-01-02 11:00:00,69.22,-9.04,4.33,90.22,0.9249
2023-01-02 12:00:00,46.58,-2.99,4.4,86.35,0.6503
2023-01-02 13:00:00,10.15,-3.3,3.44,88.83,0.0
2023-01-02 14:00:00,0.0,-11.45,3.69,86.2,0.0
2023-01-02 15:00:00,19.52,-7.42,3.6,94.21,0.069
2023-01-02 16:00:00,22.3,-6.99,3.13,87.07,0.3511
2023-01-02 17:00:00,16.29,-8.24,4.13,88.24,0.0785
2023-01-02 18:00:00,0.0,-6.87,3.21,93.21,0.0
2023-01-02 19:00:00,6.96,-8.06,3.31,86.37,0.0
2023-01-02 20:00:00,3.5,-10.87,4.02,80.53,0.0
2023-01-02 21:00:00,6.56,-7.47,4.27,84.18,0.1431
2023-01-02 22:00:00,26.14,-10.62,3.83,94.76,0.4926
2023-01-02 23:00:00,6.71,-13.5,4.89,89.9,0.2203
2023-01-03 00:00:00,20.37,-14.03,3.87,90.86,0.2622
2023-01-03 01:00:00,2.03,-10.34,5.28,90.88,0.0
2023-01-03 02:00:00,8.67,-14.11,3.65,98.34,0.0
2023-01-03 03:00:00,18.94,-12.87,4.67,79.03,0.145
2023-01-03 04:00:00,0.0,-11.91,3.46,88.76,0.0
2023-01-03 05:00:00,0.0,-9.99,3.63,89.55,0.015
2023-01-03 06:00:00,0.0,-10.31,3.36,89.3,0.1342
2023-01-03 07:00:00,0.0,-11.78,3.64,93.4,0.1007
2023-01-03 08:00:00,0.0,-6.1,5.16,93.53,0.014
2023-01-03 09:00:00,44.85,-8.61,7.17,88.32,0.449
2023-01-03 10:00:00,0.0,-3.29,3.11,80.95,0.0
2023-01-03 11:00:00,64.4,-6.42,3.25,100.0,0.6049
2023-01-03 12:00:00,0.0,-4.39,4.1,89.37,0.0
2023-01-03 13:00:00,25.31,-5.77,4.3,89.84,0.6731
2023-01-03 14:00:00,4.88,-4.7,4.29,95.71,0.3539
2023-01-03 15:00:00,17.59,-6.66,3.73,87.43,0.0093
2023-01-03 16:00:00,21.34,-7.96,4.58,95.86,0.3004
2023-01-03 17:00:00,23.8,-6.96,3.25,87.87,0.0658
2023-01-03 18:00:00,0.0,-4.95,5.8,98.55,0.0335
2023-01-03 19:00:00,0.0,-11.24,3.14,91.68,0.0
2023-01-03 20:00:00,25.74,-9.84,4.31,86.02,0.272
2023-01-03 21:00:00,0.0,-12.06,3.31,100.0,0.1577
2023-01-03 22:00:00,0.0,-11.51,5.42,92.41,0.0559
2023-01-03 23:00:00,0.0,-12.74,4.3,86.36,0.1305
2023-01-04 00:00:00,0.0,-17.27,4.5,82.28,0.0754
2023-01-04 01:00:00,14.91,-13.25,4.63,92.8,0.0621
2023-01-04 02:00:00,4.27,-10.55,3.68,96.24,0.0
2023-01-04 03:00:00,20.71,-13.6,3.56,91.25,0.1942
2023-01-04 04:00:00,0.0,-9.61,3.28,90.97,0.0
2023-01-04 05:00:00,4.76,-10.36,5.18,97.11,0.0
2023-01-04 06:00:00,18.77,-10.33,4.45,92.31,0.1085
2023-01-04 07:00:00,0.0,-7.36,3.53,86.03,0.01
2023-01-04 08:00:00,13.7,-7.09,3.53,86.24,0.3528
2023-01-04 09:00:00,0.0,-6.99,5.28,92.09,0.0
2023-01-04 10:00:00,0.0,-5.32,3.88,91.83,0.0
2023-01-04 11:00:00,23.9,-6.65,4.56,94.75,0.3085
2023-01-04 12:00:00,14.12,-10.24,3.37,91.16,0.0
