timestamp,temperature,ghi
2023-01-01 00:00:00+00:00,-13.08,9.14
2023-01-01 01:00:00+00:00,-11.96,0.0
2023-01-01 02:00:00+00:00,-11.45,22.51
2023-01-01 03:00:00+00:00,-11.29,28.22
2023-01-01 04:00:00+00:00,-10.25,0.0
2023-01-01 05:00:00+00:00,-12.35,0.0
2023-01-01 06:00:00+00:00,-11.69,3.84
2023-01-01 07:00:00+00:00,-9.18,0.0
2023-01-01 08:00:00+00:00,-8.4,0.0
2023-01-01 09:00:00+00:00,-8.79,0.0
2023-01-01 10:00:00+00:00,-6.79,26.38
2023-01-01 11:00:00+00:00,-5.15,58.69
2023-01-01 12:00:00+00:00,-4.49,51.98
2023-01-01 13:00:00+00:00,-4.14,69.17
2023-01-01 14:00:00+00:00,-9.9,14.03
2023-01-01 15:00:00+00:00,-10.07,0.0
2023-01-01 16:00:00+00:00,-8.95,11.06
2023-01-01 17:00:00+00:00,-8.93,0.0
2023-01-01 18:00:00+00:00,-10.34,26.35
2023-01-01 19:00:00+00:00,-11.75,0.0
2023-01-01 20:00:00+00:00,-11.98,0.0
2023-01-01 21:00:00+00:00,-11.02,0.0
2023-01-01 22:00:00+00:00,-15.12,36.68
2023-01-01 23:00:00+00:00,-8.08,0.0
2023-01-02 00:00:00+00:00,-12.86,0.0
2023-01-02 01:00:00+00:00,-10.69,0.0
2023-01-02 02:00:00+00:00,-13.66,15.97
2023-01-02 03:00:00+00:00,-10.87,10.96
2023-01-02 04:00:00+00:00,-11.2,12.38
2023-01-02 05:00:00+00:00,-8.96,12.92
2023-01-02 06:00:00+00:00,-10.3,64.25
2023-01-02 07:00:00+00:00,-6.02,0.0
2023-01-02 08:00:00+00:00,-11.38,0.0
2023-01-02 09:00:00+00:00,-5.88,0.0
2023-01-02 10:00:00+00:00,-7.06,18.48
2023-01-02 11:00:00+00:00,-9.04,69.22
2023-01-02 12:00:00+00:00,-2.99,46.58
2023-01-02 13:00:00+00:00,-3.3,10.15
2023-01-02 14:00:00+00:00,-11.45,0.0
2023-01-02 15:00:00+00:00,-7.42,19.52
2023-01-02 16:00:00+00:00,-6.99,22.3
2023-01-02 17:00:00+00:00,-8.24,16.29
2023-01-02 18:00:00+00:00,-6.87,0.0
2023-01-02 19:00:00+00:00,-8.06,6.96
2023-01-02 20:00:00+00:00,-10.87,3.5
2023-01-02 21:00:00+00:00,-7.47,6.56
2023-01-02 22:00:00+00:00,-10.62,26.14
2023-01-02 23:00:00+00:00,-13.5,6.71
2023-01-03 00:00:00+00:00,-14.03,20.37
2023-01-03 01:00:00+00:00,-10.34,2.03
2023-01-03 02:00:00+00:00,-14.11,8.67
2023-01-03 03:00:00+00:00,-12.87,18.94
2023-01-03 04:00:00+00:00,-11.91,0.0
2023-01-03 05:00:00+00:00,-9.99,0.0
2023-01-03 06:00:00+00:00,-10.31,0.0
2023-01-03 07:00:00+00:00,-11.78,0.0
2023-01-03 08:00:00+00:00,-6.1,0.0
2023-01-03 09:00:00+00:00,-8.61,44.85
2023-01-03 10:00:00+00:00,-3.29,0.0
2023-01-03 11:00:00+00:00,-6.42,64.4
2023-01-03 12:00:00+00:00,-4.39,0.0
2023-01-03 13:00:00+00:00,-5.77,25.31
2023-01-03 14:00:00+00:00,-4.7,4.88
2023-01-03 15:00:00+00:00,-6.66,17.59
2023-01-03 16:00:00+00:00,-7.96,21.34
2023-01-03 17:00:00+00:00,-6.96,23.8
2023-01-03 18:00:00+00:00,-4.95,0.0
2023-01-03 19:00:00+00:00,-11.24,0.0
2023-01-03 20:00:00+00:00,-9.84,25.74
2023-01-03 21:00:00+00:00,-12.06,0.0
2023-01-03 22:00:00+00:00,-11.51,0.0
2023-01-03 23:00:00+00:00,-12.74,0.0
2023-01-04 00:00:00+00:00,-17.27,0.0
2023-01-04 01:00:00+00:00,-13.25,14.91
2023-01-04 02:00:00+00:00,-10.55,4.27
2023-01-04 03:00:00+00:00,-13.6,20.71
2023-01-04 04:00:00+00:00,-9.61,0.0
2023-01-04 05:00:00+00:00,-10.36,4.76
2023-01-04 06:00:00+00:00,-10.33,18.77
2023-01-04 07:00:00+00:00,-7.36,0.0
2023-01-04 08:00:00+00:00,-7.09,13.7
2023-01-04 09:00:00+00:00,-6.99,0.0
2023-01-04 10:00:00+00:00,-5.32,0.0
2023-01-04 11:00:00+00:00,-6.65,23.9
2023-01-04 12:00:00+00:00,-10.24,14.12
2023-01-04 13:00:00+00:00,-7.81,49.96
2023-01-04 14:00:00+00:00,-10.96,0.0
2023-01-04 15:00:00+00:00,-6.51,0.37
2023-01-04 16:00:00+00:00,-6.66,14.42
2023-01-04 17:00:00+00:00,-7.29,13.4
2023-01-04 18:00:00+00:00,-8.97,19.96
2023-01-04 19:00:00+00:00,-8.79,0.0
2023-01-04 20:00:00+00:00,-14.6,0.0
2023-01-04 21:00:00+00:00,-12.29,0.0
2023-01-04 22:00:00+00:00,-15.38,0.0
2023-01-04 23:00:00+00:00,-13.56,0.0
2023-01-05 00:00:00+00:00,-9.74,0.0
2023-01-05 01:00:00+00:00,-10.68,0.0
2023-01-05 02:00:00+00:00,-11.24,11.99
2023-01-05 03:00:00+00:00,-12.45,0.0
2023-01-05 04:00:00+00:00,-13.46,0.0
2023-01-05 05:00:00+00:00,-10.37,38.98
2023-01-05 06:00:00+00:00,-7.75,0.0
2023-01-05 07:00:00+00:00,-8.37,22.13
2023-01-05 08:00:00+00:00,-11.64,0.0
2023-01-05 09:00:00+00:00,-7.64,0.0
2023-01-05 10:00:00+00:00,-11.2,0.0
2023-01-05 11:00:00+00:00,-5.46,25.18
2023-01-05 12:00:00+00:00,-8.35,75.21
2023-01-05 13:00:00+00:00,-9.52,0.0
2023-01-05 14:00:00+00:00,-5.73,13.03
2023-01-05 15:00:00+00:00,-6.73,7.13
2023-01-05 16:00:00+00:00,-8.0,0.0
2023-01-05 17:00:00+00:00,-4.81,0.0
2023-01-05 18:00:00+00:00,-8.7,2.16
2023-01-05 19:00:00+00:00,-12.04,0.0
2023-01-05 20:00:00+00:00,-10.43,6.98
2023-01-05 21:00:00+00:00,-12.66,0.66
2023-01-05 22:00:00+00:00,-10.03,48.05
2023-01-05 23:00:00+00:00,-12.3,0.0
2023-01-06 00:00:00+00:00,-12.22,0.0
2023-01-06 01:00:00+00:00,-15.77,5.38
2023-01-06 02:00:00+00:00,-12.46,6.6
2023-01-06 03:00:00+00:00,-12.22,40.78
2023-01-06 04:00:00+00:00,-13.53,25.05
2023-01-06 05:00:00+00:00,-11.2,10.71
2023-01-06 06:00:00+00:00,-9.11,43.9
2023-01-06 07:00:00+00:00,-9.22,0.0
2023-01-06 08:00:00+00:00,-11.31,0.0
2023-01-06 09:00:00+00:00,-8.41,0.0
2023-01-06 10:00:00+00:00,-8.32,0.0
2023-01-06 11:00:00+00:00,-6.7,0.0
2023-01-06 12:00:00+00:00,-6.81,69.05
2023-01-06 13:00:00+00:00,-7.91,28.69
2023-01-06 14:00:00+00:00,-8.29,0.0
2023-01-06 15:00:00+00:00,-7.73,0.0
2023-01-06 16:00:00+00:00,-6.56,9.41
2023-01-06 17:00:00+00:00,-8.65,25.14
2023-01-06 18:00:00+00:00,-7.14,59.9
2023-01-06 19:00:00+00:00,-8.49,87.42
2023-01-06 20:00:00+00:00,-8.49,12.43
2023-01-06 21:00:00+00:00,-9.37,0.0
2023-01-06 22:00:00+00:00,-9.46,0.0
2023-01-06 23:00:00+00:00,-15.19,8.03
2023-01-07 00:00:00+00:00,-11.7,0.0
2023-01-07 01:00:00+00:00,-10.45,0.0
2023-01-07 02:00:00+00:00,-9.79,0.0
2023-01-07 03:00:00+00:00,-13.66,0.0
2023-01-07 04:00:00+00:00,-10.18,31.98
2023-01-07 05:00:00+00:00,-10.62,4.71
2023-01-07 06:00:00+00:00,-6.3,0.0
2023-01-07 07:00:00+00:00,-11.99,0.0
2023-01-07 08:00:00+00:00,-10.03,0.0
2023-01-07 09:00:00+00:00,-11.49,0.0
2023-01-07 10:00:00+00:00,-7.11,0.0
2023-01-07 11:00:00+00:00,-2.57,88.39
2023-01-07 12:00:00+00:00,-7.08,53.91
2023-01-07 13:00:00+00:00,-6.89,64.84
2023-01-07 14:00:00+00:00,-6.29,0.0
2023-01-07 15:00:00+00:00,-8.1,0.0
2023-01-07 16:00:00+00:00,-7.76,0.0
2023-01-07 17:00:00+00:00,-8.43,0.0
2023-01-07 18:00:00+00:00,-11.68,63.85
2023-01-07 19:00:00+00:00,-10.96,0.0
